Région,Type de sol,pH du sol,Pluviométrie (mm/an),Température (°C),Irrigation,Budget disponible (MAD/ha),Prix (MAD/kg),Rendement (kg/ha),Période de plantation,Durée de culture (mois),Sensibilité au climat,Bénéfice estimé (MAD/ha),Culture recommandée
Meknès,Sableux,5.67,604.1,19.8,Non,13992.43,8.47,15580.31,Toute l’année,3.7,Faible,92375.66,Pomme de terre
Rabat,Argileux,5.47,690.3,17.2,Oui,21065.44,9.48,17830.4,Toute l’année,4.4,Moyenne,118322.53,Pomme de terre
Ouarzazate,Sableux,5.83,612.2,18.3,Oui,19317.24,3.78,21093.51,Mars - Avril,3.6,Moyenne,55813.43,Pomme de terre
Agadir,Sableux,5.36,772.8,15.0,Non,19234.37,6.24,18578.11,Mars - Avril,5.5,Forte,81149.18,Pomme de terre
Fès,Sableux,5.36,645.7,16.5,Oui,13452.67,6.46,15426.99,Septembre - Octobre,5.5,Forte,69760.85,Pomme de terre
Meknès,Sableux,5.31,683.1,19.8,Oui,21894.17,6.61,11874.22,Mars - Avril,5.2,Forte,54942.02,Pomme de terre
Rabat,Limoneux,5.08,632.8,19.0,Non,17664.06,9.78,16096.39,Septembre - Octobre,3.1,Faible,110195.89,Pomme de terre
Agadir,Limoneux,5.21,640.9,15.7,Non,18410.41,5.46,17199.07,Toute l’année,4.7,Moyenne,65734.85,Pomme de terre
Agadir,Sableux,5.58,623.8,15.7,Non,21295.0,7.21,21730.14,Septembre - Octobre,5.8,Faible,109672.02,Pomme de terre
Meknès,Sableux,5.72,712.7,16.9,Oui,19986.9,8.85,22365.51,Mai - Juin,3.6,Faible,138554.33,Pomme de terre
Ouarzazate,Sableux,6.21,418.7,16.6,Non,23742.32,6.35,20253.81,Septembre - Octobre,3.3,Moyenne,90028.19,Carotte
Rabat,Sableux,6.8,513.0,18.7,Oui,15947.58,6.93,12509.38,Mars - Avril,5.4,Faible,60683.0,Carotte
Agadir,Sableux,6.73,549.4,17.8,Non,19788.11,6.44,16748.5,Mai - Juin,4.7,Faible,75502.24,Carotte
Rabat,Sableux,6.17,414.2,17.3,Non,26287.64,8.29,19740.96,Mai - Juin,5.1,Faible,114556.79,Carotte
Ouarzazate,Sableux,6.11,490.0,17.7,Non,21539.97,7.93,16821.94,Mars - Avril,3.8,Forte,93378.59,Carotte
Agadir,Argileux,6.93,540.1,17.5,Non,23185.16,9.43,17915.99,Mars - Avril,4.1,Forte,118263.45,Carotte
Meknès,Sableux,6.86,443.8,18.2,Oui,19799.22,11.2,20955.55,Toute l’année,4.5,Forte,164291.51,Carotte
Agadir,Argileux,6.15,553.9,18.0,Oui,17422.0,6.77,19130.43,Septembre - Octobre,4.3,Forte,90659.11,Carotte
Agadir,Limoneux,6.14,469.9,17.6,Oui,20439.67,5.88,16126.47,Septembre - Octobre,3.1,Faible,66376.55,Carotte
Rabat,Argileux,6.48,454.6,15.8,Non,12879.35,7.28,15876.17,Mars - Avril,3.7,Forte,80904.96,Carotte
Rabat,Sableux,6.55,570.6,16.0,Non,16410.52,4.67,21304.9,Mai - Juin,3.8,Moyenne,69645.72,Carotte
Meknès,Argileux,6.52,451.3,16.0,Non,13744.48,10.42,16144.37,Mars - Avril,5.9,Forte,117757.03,Carotte
Meknès,Argileux,6.59,565.8,17.3,Non,17194.11,6.89,14781.68,Toute l’année,5.5,Forte,71292.04,Carotte
Rabat,Argileux,6.08,410.8,17.6,Non,20223.07,6.62,17545.15,Toute l’année,3.5,Moyenne,81304.23,Carotte
Rabat,Sableux,6.76,530.2,19.6,Oui,19000.36,7.98,22189.5,Mars - Avril,4.7,Moyenne,123950.55,Carotte
Fès,Argileux,6.21,400.7,19.9,Oui,22177.88,9.42,22245.17,Septembre - Octobre,3.2,Faible,146684.65,Carotte
Agadir,Argileux,6.81,498.9,17.8,Oui,22989.15,3.78,17329.75,Toute l’année,3.2,Faible,45854.52,Carotte
Agadir,Limoneux,6.94,444.5,17.6,Non,22383.24,8.95,21456.98,Mars - Avril,4.9,Moyenne,134427.98,Carotte
Agadir,Argileux,6.47,400.7,17.3,Non,18694.94,9.99,15558.43,Mai - Juin,3.9,Forte,108800.1,Carotte
Ouarzazate,Limoneux,6.01,471.3,18.7,Non,18335.45,11.03,20728.93,Septembre - Octobre,3.0,Faible,160048.07,Carotte
Ouarzazate,Sableux,6.71,477.3,18.3,Non,20036.25,7.28,16623.54,Mars - Avril,3.8,Forte,84713.56,Carotte
Rabat,Argileux,6.24,544.5,19.2,Oui,19649.85,7.4,19845.56,Septembre - Octobre,5.1,Faible,102800.0,Carotte
Meknès,Argileux,6.31,482.1,19.2,Non,23068.61,4.41,20504.32,Septembre - Octobre,5.7,Moyenne,63296.84,Carotte
Agadir,Sableux,6.98,461.6,17.5,Non,31776.51,9.92,15437.43,Mai - Juin,3.1,Forte,107197.51,Carotte
Meknès,Sableux,6.17,460.0,15.1,Oui,18008.99,9.85,14914.74,Toute l’année,4.4,Faible,102837.13,Carotte
Meknès,Argileux,6.44,471.4,18.5,Non,24823.98,8.23,18580.59,Toute l’année,3.5,Forte,107042.78,Carotte
Agadir,Limoneux,6.74,426.4,15.6,Non,11340.58,6.31,21867.91,Mars - Avril,5.0,Forte,96590.56,Carotte
Rabat,Argileux,6.26,486.2,18.5,Non,13417.33,7.78,20020.9,Mars - Avril,3.8,Moyenne,109033.82,Carotte
Agadir,Limoneux,6.78,404.9,16.1,Non,14743.51,9.06,17008.36,Septembre - Octobre,4.9,Forte,107867.02,Carotte
Meknès,Sableux,6.08,439.2,18.6,Non,17395.53,6.87,13791.63,Mars - Avril,3.2,Forte,66323.95,Carotte
Fès,Sableux,6.18,419.2,17.8,Oui,27201.11,4.58,18443.79,Toute l’année,5.0,Moyenne,59130.79,Carotte
Agadir,Sableux,6.57,402.0,15.0,Oui,19873.93,7.88,16402.67,Toute l’année,5.0,Moyenne,90477.13,Carotte
Fès,Sableux,6.97,561.5,15.3,Oui,12896.1,4.94,16112.25,Toute l’année,4.2,Faible,55716.16,Carotte
Agadir,Sableux,6.31,418.8,16.7,Non,17327.59,5.63,15696.45,Mars - Avril,4.1,Forte,61859.71,Carotte
Fès,Argileux,6.73,536.4,18.4,Non,14797.18,5.78,16527.76,Mai - Juin,5.9,Moyenne,66871.32,Carotte
Meknès,Sableux,6.59,417.5,18.4,Non,22322.92,7.71,18513.58,Mai - Juin,3.9,Moyenne,99917.79,Carotte
Rabat,Limoneux,6.11,534.3,16.2,Non,19294.05,8.72,17376.73,Septembre - Octobre,3.1,Faible,106067.56,Carotte
Agadir,Argileux,6.1,402.7,16.1,Oui,18942.56,8.94,16463.59,Septembre - Octobre,3.8,Faible,103029.15,Carotte
Fès,Limoneux,6.88,406.8,15.1,Oui,16143.35,4.5,17386.74,Mai - Juin,5.1,Faible,54768.23,Carotte
Fès,Argileux,6.08,526.8,18.2,Oui,19229.22,5.26,15054.7,Mars - Avril,3.4,Moyenne,55431.41,Carotte
Fès,Sableux,6.14,414.3,17.0,Non,16980.26,9.24,17158.82,Septembre - Octobre,4.8,Moyenne,110983.25,Carotte
Ouarzazate,Argileux,6.39,560.5,16.3,Oui,23606.38,6.16,15742.88,Toute l’année,5.2,Moyenne,67883.3,Carotte
Ouarzazate,Sableux,6.5,500.0,16.9,Oui,21104.88,9.48,20353.74,Septembre - Octobre,5.5,Forte,135067.42,Carotte
Meknès,Limoneux,6.49,531.1,19.7,Oui,22025.23,9.09,16375.16,Septembre - Octobre,3.5,Forte,104195.14,Carotte
Rabat,Sableux,6.28,446.3,18.3,Non,23616.78,9.28,23823.35,Septembre - Octobre,3.2,Faible,154756.48,Carotte
Ouarzazate,Argileux,6.07,436.8,19.7,Non,17601.78,7.54,17683.39,Toute l’année,4.2,Faible,93332.93,Carotte
Agadir,Sableux,6.37,569.0,15.6,Oui,25310.37,8.18,13168.21,Toute l’année,4.7,Forte,75401.17,Carotte
Fès,Argileux,6.93,531.4,20.0,Non,16785.08,7.51,17773.84,Mars - Avril,4.3,Forte,93437.08,Carotte
Fès,Limoneux,7.0,500.4,18.9,Oui,20507.12,8.81,24759.02,Mars - Avril,5.0,Moyenne,152688.88,Carotte
Agadir,Limoneux,6.32,432.3,18.2,Oui,21411.68,10.42,17527.13,Mai - Juin,5.6,Faible,127842.89,Carotte
Agadir,Limoneux,6.19,522.0,19.5,Oui,19312.28,8.87,14022.96,Septembre - Octobre,4.8,Forte,87068.56,Carotte
Fès,Argileux,6.01,540.7,17.1,Non,18748.94,6.14,12158.17,Mai - Juin,4.7,Forte,52255.81,Carotte
Fès,Argileux,6.26,438.7,18.2,Non,22616.69,8.05,14564.59,Septembre - Octobre,5.7,Forte,82071.46,Carotte
Agadir,Limoneux,6.85,421.5,17.4,Oui,19371.13,7.35,15270.8,Mai - Juin,3.2,Faible,78568.27,Carotte
Rabat,Limoneux,6.29,583.1,15.6,Oui,20031.63,2.82,24039.82,Mai - Juin,4.4,Forte,47454.6,Carotte
Fès,Argileux,6.83,492.0,17.0,Oui,17367.09,10.06,16285.28,Toute l’année,4.1,Moyenne,114680.94,Carotte
Meknès,Limoneux,6.52,538.1,18.3,Oui,19040.78,11.26,18444.09,Septembre - Octobre,3.2,Moyenne,145376.32,Carotte
Fès,Limoneux,6.18,547.2,19.9,Non,12068.49,5.48,17665.88,Mai - Juin,4.6,Moyenne,67766.32,Carotte
Fès,Argileux,6.23,492.5,16.9,Oui,17002.08,5.28,18908.44,Mai - Juin,3.4,Forte,69885.59,Carotte
Rabat,Limoneux,6.48,560.9,17.0,Non,22660.19,7.99,12394.14,Toute l’année,5.4,Faible,69320.43,Carotte
Ouarzazate,Limoneux,6.59,419.4,16.3,Oui,17461.54,7.16,19531.12,Septembre - Octobre,4.3,Moyenne,97889.97,Carotte
Fès,Limoneux,6.35,419.6,18.3,Oui,24377.57,6.77,17162.09,Septembre - Octobre,5.9,Moyenne,81331.14,Carotte
Ouarzazate,Sableux,6.54,577.4,16.2,Non,15449.22,8.27,20495.35,Septembre - Octobre,5.5,Forte,118647.58,Carotte
Meknès,Limoneux,6.81,559.9,15.1,Non,22067.4,9.28,14811.93,Mai - Juin,5.1,Moyenne,96218.3,Carotte
Fès,Sableux,6.97,418.4,17.2,Non,17514.79,7.78,18143.82,Mai - Juin,5.5,Moyenne,98811.24,Carotte
Meknès,Argileux,6.27,463.4,17.7,Oui,17702.36,10.66,19331.31,Mai - Juin,5.0,Faible,144250.24,Carotte
Agadir,Sableux,6.48,429.4,16.2,Non,15461.43,7.01,22287.6,Toute l’année,4.1,Forte,109365.25,Carotte
Agadir,Limoneux,6.79,594.9,15.3,Non,25075.88,9.39,22146.3,Septembre - Octobre,5.7,Moyenne,145567.63,Carotte
Meknès,Argileux,6.18,515.2,19.2,Non,17508.92,3.47,15286.31,Toute l’année,3.1,Moyenne,37130.45,Carotte
Meknès,Argileux,6.21,534.6,19.1,Oui,14533.44,10.41,21623.98,Toute l’année,4.2,Faible,157573.94,Carotte
Agadir,Limoneux,6.41,493.3,15.9,Oui,17910.88,6.39,13664.37,Mars - Avril,4.5,Forte,61120.73,Carotte
Rabat,Sableux,6.36,592.5,15.3,Oui,20442.93,6.76,21729.16,Toute l’année,3.7,Moyenne,102822.39,Carotte
Agadir,Limoneux,6.07,557.8,15.6,Oui,16019.79,6.29,18402.3,Mars - Avril,3.9,Faible,81025.33,Carotte
Rabat,Limoneux,6.95,534.4,17.3,Non,16629.81,7.11,15995.01,Septembre - Octobre,4.4,Faible,79607.16,Carotte
Agadir,Sableux,6.21,430.1,16.0,Oui,13862.25,7.27,18304.83,Septembre - Octobre,3.1,Forte,93153.28,Carotte
Agadir,Sableux,6.07,407.2,19.5,Non,19408.47,8.57,16149.88,Mars - Avril,5.2,Faible,96883.13,Carotte
Ouarzazate,Limoneux,6.24,509.2,15.7,Oui,15917.65,7.74,19631.56,Septembre - Octobre,4.9,Forte,106363.79,Carotte
Ouarzazate,Limoneux,6.17,410.5,20.0,Oui,19181.06,9.78,19529.12,Mai - Juin,5.4,Forte,133696.36,Carotte
Ouarzazate,Sableux,6.04,483.3,19.1,Oui,15733.37,5.02,19491.77,Mai - Juin,3.7,Forte,68494.08,Carotte
Agadir,Sableux,6.78,571.8,19.8,Oui,15233.01,7.6,18290.79,Mars - Avril,3.8,Forte,97307.0,Carotte
Ouarzazate,Limoneux,6.59,541.5,16.1,Oui,23391.51,5.49,20060.36,Toute l’année,3.8,Moyenne,77091.96,Carotte
Rabat,Limoneux,6.88,594.7,17.8,Oui,15468.61,10.02,18525.57,Septembre - Octobre,3.5,Forte,129938.35,Carotte
Meknès,Limoneux,6.45,447.6,16.2,Non,17870.88,11.98,16629.87,Mars - Avril,4.4,Moyenne,139458.09,Carotte
Fès,Sableux,6.91,545.2,15.9,Oui,23838.01,11.09,22684.55,Septembre - Octobre,4.7,Faible,176100.16,Carotte
Meknès,Argileux,6.51,518.9,16.3,Non,15619.56,12.48,21806.07,Septembre - Octobre,4.5,Forte,190497.83,Carotte
Ouarzazate,Argileux,6.74,548.8,16.5,Oui,21318.81,9.08,20271.95,Toute l’année,3.2,Moyenne,128848.51,Carotte
Rabat,Argileux,6.95,481.3,17.2,Non,12386.52,5.81,18525.52,Mai - Juin,5.6,Moyenne,75343.29,Carotte
Agadir,Sableux,6.14,596.2,15.1,Non,9391.39,10.79,15593.82,Mars - Avril,5.1,Forte,117780.12,Carotte
Fès,Limoneux,6.42,496.4,18.7,Oui,23314.41,9.42,14880.82,Mai - Juin,4.5,Forte,98124.13,Carotte
Meknès,Argileux,6.51,587.4,16.4,Non,14596.02,7.02,15476.56,Toute l’année,5.1,Moyenne,76051.82,Carotte
Agadir,Sableux,6.5,570.4,19.4,Oui,19734.0,7.54,24532.36,Mars - Avril,4.8,Moyenne,129481.8,Carotte
Rabat,Argileux,6.39,546.6,19.3,Non,10032.98,5.37,23628.73,Mars - Avril,3.3,Forte,88820.4,Carotte
Ouarzazate,Limoneux,6.68,511.7,15.6,Non,19913.13,5.44,20891.83,Mai - Juin,5.2,Forte,79556.09,Carotte
Fès,Limoneux,6.78,425.4,16.5,Non,20447.02,8.36,17356.14,Mai - Juin,4.5,Faible,101568.13,Carotte
Ouarzazate,Limoneux,6.43,417.3,17.1,Non,22272.15,6.63,16098.52,Septembre - Octobre,3.9,Faible,74713.23,Carotte
Meknès,Sableux,6.28,549.7,17.5,Oui,20799.1,9.15,16311.83,Mai - Juin,4.4,Moyenne,104477.27,Carotte
Meknès,Limoneux,6.73,431.7,18.4,Oui,19705.9,5.13,15647.68,Mars - Avril,4.7,Forte,56190.82,Carotte
Fès,Limoneux,6.82,575.9,15.1,Oui,20353.8,8.27,20584.42,Septembre - Octobre,4.2,Moyenne,119163.21,Carotte
Ouarzazate,Argileux,6.92,557.6,15.7,Oui,18031.52,9.48,17504.59,Septembre - Octobre,5.6,Moyenne,116160.46,Carotte
Agadir,Argileux,6.34,413.1,15.7,Non,21840.43,5.44,14959.6,Toute l’année,4.2,Faible,56966.16,Carotte
Agadir,Argileux,6.69,462.7,18.5,Oui,21162.39,8.5,17203.68,Toute l’année,4.0,Forte,102361.9,Carotte
Agadir,Sableux,6.66,442.6,15.3,Oui,16647.07,8.54,19343.71,Septembre - Octobre,4.3,Faible,115636.7,Carotte
Fès,Argileux,6.86,401.7,16.7,Oui,18503.58,8.24,16594.73,Mai - Juin,4.7,Moyenne,95718.4,Carotte
Ouarzazate,Limoneux,6.32,431.0,17.1,Non,22168.31,7.17,18464.19,Mai - Juin,5.8,Faible,92671.77,Carotte
Meknès,Argileux,6.41,489.0,19.6,Non,13309.71,7.59,13311.02,Septembre - Octobre,4.5,Moyenne,70721.45,Carotte
Agadir,Sableux,6.92,566.7,16.4,Oui,25500.99,9.6,17357.98,Mars - Avril,4.6,Faible,116645.63,Carotte
Ouarzazate,Limoneux,6.39,466.1,17.3,Non,15905.87,7.77,22723.33,Septembre - Octobre,3.4,Forte,123592.19,Carotte
Ouarzazate,Limoneux,6.0,480.1,16.7,Non,19358.24,5.62,14478.49,Toute l’année,3.1,Faible,56958.38,Carotte
Agadir,Argileux,6.13,585.2,17.5,Non,26733.42,5.72,18378.61,Septembre - Octobre,4.8,Faible,73587.95,Carotte
Rabat,Argileux,6.99,487.4,15.5,Non,21709.36,4.06,15627.8,Septembre - Octobre,4.7,Forte,44414.21,Carotte
Rabat,Limoneux,6.18,547.9,18.0,Non,11384.82,6.99,12619.42,Mars - Avril,4.6,Faible,61746.82,Carotte
Rabat,Argileux,6.82,537.2,19.7,Oui,12957.97,9.11,15838.86,Mai - Juin,5.3,Faible,101004.41,Carotte
Ouarzazate,Sableux,6.88,487.8,17.0,Oui,17149.33,7.35,24124.05,Mars - Avril,5.3,Moyenne,124118.24,Carotte
Rabat,Argileux,6.01,487.3,18.0,Non,19598.59,8.21,19026.05,Mars - Avril,4.9,Faible,109342.71,Carotte
Meknès,Limoneux,6.27,551.7,18.6,Oui,13979.04,8.71,17084.74,Mai - Juin,3.3,Moyenne,104165.66,Carotte
Agadir,Argileux,6.19,553.2,17.8,Non,22079.69,10.72,17829.08,Toute l’année,5.6,Faible,133789.42,Carotte
Rabat,Argileux,6.21,451.2,17.9,Non,7166.57,7.06,17687.13,Mars - Avril,4.5,Forte,87409.8,Carotte
Meknès,Argileux,6.34,536.8,17.0,Oui,8365.88,12.84,17979.45,Mai - Juin,3.5,Faible,161599.3,Carotte
Fès,Argileux,6.43,595.6,20.0,Oui,20191.84,7.75,19163.93,Mars - Avril,4.7,Faible,103964.32,Carotte
Ouarzazate,Limoneux,6.89,443.3,16.0,Oui,11758.79,8.99,19771.51,Toute l’année,5.1,Forte,124422.11,Carotte
Ouarzazate,Sableux,6.04,406.7,17.8,Oui,11455.68,7.63,17893.46,Toute l’année,5.0,Moyenne,95568.97,Carotte
Fès,Sableux,6.72,572.9,15.9,Non,16121.07,7.23,17945.91,Septembre - Octobre,4.5,Forte,90824.25,Carotte
Fès,Sableux,6.47,448.9,18.5,Oui,16032.96,8.62,17184.07,Mars - Avril,5.5,Faible,103688.68,Carotte
Ouarzazate,Limoneux,6.58,493.1,16.3,Oui,21844.18,7.64,16156.08,Mai - Juin,3.4,Moyenne,86402.72,Carotte
Fès,Argileux,6.54,491.9,15.4,Oui,19747.41,5.65,22215.55,Mai - Juin,3.4,Faible,87862.5,Carotte
Meknès,Limoneux,6.24,396.3,18.5,Non,14357.82,8.83,17994.75,Septembre - Octobre,3.2,Forte,111225.55,Lentilles
Ouarzazate,Argileux,6.01,477.1,16.8,Non,21505.73,10.58,17204.55,Septembre - Octobre,4.4,Moyenne,127416.9,Lentilles
Fès,Argileux,6.61,460.2,15.3,Oui,25505.36,6.11,17639.12,Toute l’année,3.9,Forte,75442.52,Lentilles
Agadir,Limoneux,6.62,419.4,15.8,Oui,16397.73,8.92,16955.74,Mai - Juin,5.7,Moyenne,105871.64,Lentilles
Ouarzazate,Limoneux,6.41,398.3,15.4,Non,12865.76,7.35,20197.47,Toute l’année,4.0,Moyenne,103915.98,Lentilles
Ouarzazate,Argileux,6.36,472.6,17.9,Oui,15121.11,6.46,17566.06,Septembre - Octobre,5.1,Faible,79433.72,Lentilles
Ouarzazate,Limoneux,6.29,428.2,18.3,Oui,15859.95,9.01,19704.07,Septembre - Octobre,4.3,Forte,124273.57,Lentilles
Fès,Argileux,6.9,342.8,15.2,Oui,10138.42,7.39,20285.93,Septembre - Octobre,3.4,Moyenne,104939.12,Lentilles
Fès,Sableux,6.96,373.5,19.9,Oui,23054.09,6.88,14538.98,Toute l’année,3.3,Faible,70019.73,Lentilles
Fès,Sableux,6.13,492.4,15.6,Non,16288.39,7.11,19939.02,Mai - Juin,5.9,Moyenne,99236.5,Lentilles
Fès,Limoneux,6.26,454.3,17.1,Oui,20274.04,8.47,13037.46,Septembre - Octobre,4.7,Faible,77299.1,Lentilles
Fès,Limoneux,6.98,384.3,15.7,Non,13359.68,9.73,15459.59,Septembre - Octobre,5.7,Moyenne,105295.27,Lentilles
Rabat,Sableux,6.73,365.0,19.8,Non,20409.48,13.87,21160.46,Septembre - Octobre,5.7,Faible,205446.91,Lentilles
Ouarzazate,Sableux,6.97,408.7,16.5,Non,20123.58,7.72,16125.51,Toute l’année,4.6,Moyenne,87142.26,Lentilles
Ouarzazate,Argileux,6.62,458.3,19.7,Non,13092.24,10.03,18609.8,Toute l’année,3.3,Moyenne,130659.41,Lentilles
Meknès,Argileux,6.15,326.7,19.9,Oui,17550.87,7.13,15599.86,Mars - Avril,3.6,Forte,77858.9,Lentilles
Meknès,Argileux,6.21,389.3,15.4,Oui,12869.18,6.71,18633.68,Septembre - Octobre,5.3,Forte,87522.39,Lentilles
Agadir,Argileux,6.16,436.9,17.6,Non,14592.62,11.27,15033.06,Septembre - Octobre,5.6,Faible,118595.81,Lentilles
Ouarzazate,Argileux,6.11,481.0,16.8,Non,16800.69,10.41,20508.74,Septembre - Octobre,3.1,Faible,149447.19,Lentilles
Ouarzazate,Limoneux,6.73,416.8,15.4,Oui,18720.89,8.7,18077.11,Mai - Juin,5.7,Faible,110089.6,Lentilles
Ouarzazate,Sableux,6.41,334.2,18.5,Oui,21476.73,8.79,17839.82,Septembre - Octobre,5.7,Moyenne,109768.41,Lentilles
Rabat,Argileux,6.1,311.8,17.4,Oui,21138.85,8.67,20087.99,Mai - Juin,5.2,Moyenne,121914.01,Lentilles
Agadir,Limoneux,6.11,468.5,17.8,Oui,16530.11,7.32,17633.59,Mai - Juin,5.8,Forte,90354.52,Lentilles
Ouarzazate,Limoneux,6.96,400.0,16.8,Non,21585.06,6.1,19978.07,Mai - Juin,4.2,Faible,85306.36,Lentilles
Rabat,Sableux,6.27,379.9,16.1,Non,21841.3,7.48,13727.91,Toute l’année,5.2,Faible,71879.34,Lentilles
Rabat,Limoneux,6.45,419.2,17.5,Non,16102.28,6.65,19476.85,Septembre - Octobre,5.7,Moyenne,90664.74,Lentilles
Agadir,Argileux,6.59,434.1,19.2,Non,15037.86,7.73,21878.35,Septembre - Octobre,5.8,Faible,118383.75,Lentilles
Meknès,Argileux,6.59,386.0,18.5,Non,15513.0,5.28,16117.02,Toute l’année,5.9,Faible,59568.51,Lentilles
Fès,Sableux,6.35,397.1,17.8,Non,21146.82,7.37,18828.58,Mars - Avril,3.9,Moyenne,97136.64,Lentilles
Fès,Limoneux,6.67,486.4,15.4,Non,21209.55,11.68,19431.31,Mai - Juin,3.7,Moyenne,158870.39,Lentilles
Rabat,Argileux,6.72,470.4,17.2,Oui,18115.77,6.63,22478.43,Mars - Avril,3.9,Moyenne,104322.39,Lentilles
Meknès,Sableux,6.06,483.9,17.8,Oui,15334.64,5.63,19806.33,Mars - Avril,4.0,Faible,78056.75,Lentilles
Ouarzazate,Sableux,6.33,409.4,16.6,Oui,15949.17,7.52,21360.41,Toute l’année,6.0,Faible,112441.2,Lentilles
Ouarzazate,Sableux,6.59,464.5,16.3,Non,7646.02,8.21,17960.73,Mars - Avril,4.5,Forte,103220.32,Lentilles
Ouarzazate,Sableux,6.5,469.0,16.8,Non,16940.05,10.44,22149.76,Septembre - Octobre,3.7,Forte,161870.45,Lentilles
Ouarzazate,Argileux,6.31,454.9,16.3,Oui,22345.22,7.07,14194.08,Toute l’année,5.0,Forte,70246.5,Lentilles
Meknès,Limoneux,6.53,432.3,19.2,Non,25912.21,7.34,17166.51,Toute l’année,3.1,Moyenne,88201.53,Lentilles
Agadir,Sableux,6.23,463.6,16.6,Oui,24803.6,13.0,20134.13,Toute l’année,5.6,Forte,183220.58,Lentilles
Ouarzazate,Argileux,6.26,406.5,15.1,Non,24907.29,10.18,15383.02,Mai - Juin,4.2,Moyenne,109619.4,Lentilles
Meknès,Limoneux,6.24,439.7,19.0,Non,16184.27,7.04,17981.5,Mars - Avril,5.0,Forte,88612.83,Lentilles
Meknès,Limoneux,6.39,490.4,15.2,Oui,12163.43,3.14,15634.34,Mai - Juin,5.0,Forte,34364.28,Lentilles
Meknès,Argileux,6.83,444.7,17.3,Non,26591.64,5.38,18188.46,Mai - Juin,5.0,Forte,68497.74,Lentilles
Fès,Sableux,6.13,358.1,19.7,Oui,22723.99,10.77,16725.95,Mars - Avril,4.2,Moyenne,126096.94,Lentilles
Rabat,Limoneux,6.52,362.0,15.5,Non,18081.28,10.08,22926.14,Septembre - Octobre,5.1,Forte,161766.84,Lentilles
Fès,Limoneux,6.41,388.2,16.0,Oui,16620.84,6.61,14769.72,Mai - Juin,4.5,Faible,68339.49,Lentilles
Agadir,Limoneux,6.72,307.0,16.8,Non,23196.75,8.28,20106.99,Toute l’année,3.4,Forte,116540.11,Lentilles
Rabat,Argileux,6.34,411.7,17.4,Oui,15391.11,7.04,17332.79,Septembre - Octobre,4.8,Forte,85415.99,Lentilles
Rabat,Limoneux,6.71,451.1,17.4,Oui,20612.25,5.02,14052.44,Septembre - Octobre,4.0,Forte,49380.27,Lentilles
Fès,Limoneux,6.58,325.1,16.7,Non,9885.05,7.74,18079.72,Toute l’année,4.7,Faible,97955.92,Lentilles
Agadir,Argileux,6.28,499.9,16.2,Non,24464.0,11.92,20109.72,Mai - Juin,4.4,Faible,167795.5,Lentilles
Rabat,Argileux,6.78,308.4,17.2,Non,16850.32,8.13,17513.29,Mars - Avril,5.5,Faible,99668.13,Lentilles
Agadir,Sableux,6.76,324.0,16.8,Oui,22901.64,5.6,15529.99,Septembre - Octobre,5.9,Faible,60877.56,Lentilles
Ouarzazate,Argileux,6.15,370.4,17.7,Non,16558.89,7.3,19255.86,Mars - Avril,3.8,Faible,98397.44,Lentilles
Meknès,Argileux,6.34,398.9,15.4,Oui,21243.81,9.61,17356.88,Mars - Avril,4.4,Faible,116759.73,Lentilles
Ouarzazate,Argileux,6.6,401.1,19.8,Oui,20619.35,8.3,14664.94,Mars - Avril,5.8,Moyenne,85203.3,Lentilles
Agadir,Sableux,6.84,330.7,18.9,Oui,15692.25,10.6,14257.5,Mars - Avril,5.2,Faible,105790.65,Lentilles
Fès,Sableux,6.65,471.3,15.8,Non,20707.74,4.62,23594.3,Septembre - Octobre,5.4,Forte,76303.97,Lentilles
Rabat,Sableux,6.17,439.7,18.2,Non,23250.44,1.79,20834.3,Septembre - Octobre,3.9,Forte,26105.38,Lentilles
Ouarzazate,Argileux,6.4,308.9,18.5,Non,22317.86,9.75,17273.37,Septembre - Octobre,4.6,Moyenne,117890.75,Lentilles
Meknès,Limoneux,6.9,311.6,18.9,Non,24889.19,8.33,20310.54,Septembre - Octobre,4.9,Faible,118430.76,Lentilles
Rabat,Sableux,6.66,448.1,18.3,Oui,18921.6,7.5,13610.68,Mai - Juin,3.1,Faible,71456.07,Lentilles
Ouarzazate,Argileux,6.46,312.2,15.6,Non,12559.59,8.42,20786.2,Septembre - Octobre,4.3,Faible,122513.86,Lentilles
Ouarzazate,Limoneux,6.55,336.7,16.3,Oui,13123.51,6.98,17939.9,Septembre - Octobre,4.7,Faible,87654.35,Lentilles
Meknès,Sableux,6.09,460.0,16.1,Non,21972.2,7.41,17560.85,Septembre - Octobre,5.6,Forte,91088.13,Lentilles
Ouarzazate,Argileux,6.91,354.0,17.5,Non,15348.1,11.05,13972.08,Toute l’année,5.5,Faible,108074.04,Lentilles
Agadir,Argileux,6.09,442.6,17.2,Oui,13858.05,8.08,21652.33,Toute l’année,5.7,Faible,122465.58,Lentilles
Fès,Limoneux,6.09,304.0,15.5,Non,24962.44,8.73,21615.62,Toute l’année,5.0,Faible,132093.05,Lentilles
Fès,Sableux,6.08,363.8,19.9,Non,15756.68,4.45,18986.8,Mai - Juin,5.3,Forte,59143.88,Lentilles
Meknès,Limoneux,6.66,495.8,16.0,Oui,19244.97,3.69,18308.93,Mars - Avril,5.1,Faible,47291.97,Lentilles
